booster,colsample_bytree,eta,eval_metric,improve10,improve15,improve5,lamda,learning_rate,max_depth,objective,scale_pos_weight,seed,value-mean10,value-mean15,value-mean5
gbtree,0.7,0.01,auc,-1.82793360351,0.102426215084,-2.33256824463,1,0.1,4,binary:logistic,18.92543859649123,2,6.766,8.03933333333,7.316
gbtree,0.7,0.1,auc,-2.09757621834,-0.838636420703,-2.07865840843,0.2,0.05,4,binary:logistic,18.92543859649123,2,6.457,8.26533333333,7.502
gbtree,0.7,0.1,auc,-2.09757621834,-0.838636420703,-2.07865840843,0.4,0.05,4,binary:logistic,18.92543859649123,2,6.457,8.26533333333,7.502
gbtree,0.7,0.1,auc,-2.09757621834,-0.838636420703,-2.07865840843,0.6,0.05,4,binary:logistic,18.92543859649123,2,6.457,8.26533333333,7.502
gbtree,0.7,0.1,auc,-2.09757621834,-0.838636420703,-2.07865840843,0.8,0.05,4,binary:logistic,18.92543859649123,2,6.457,8.26533333333,7.502
gbtree,0.7,0.1,auc,-2.09757621834,-0.838636420703,-2.07865840843,1,0.05,4,binary:logistic,18.92543859649123,2,6.457,8.26533333333,7.502
gbtree,0.7,0.1,auc,-1.82793360351,0.102426215084,-2.33256824463,0.2,0.1,4,binary:logistic,18.92543859649123,2,6.766,8.03933333333,7.316
gbtree,0.7,0.1,auc,-1.82793360351,0.102426215084,-2.33256824463,0.4,0.1,4,binary:logistic,18.92543859649123,2,6.766,8.03933333333,7.316
gbtree,0.7,0.1,auc,-1.82793360351,0.102426215084,-2.33256824463,0.6,0.1,4,binary:logistic,18.92543859649123,2,6.766,8.03933333333,7.316
gbtree,0.7,0.1,auc,-1.82793360351,0.102426215084,-2.33256824463,0.8,0.1,4,binary:logistic,18.92543859649123,2,6.766,8.03933333333,7.316
gbtree,0.7,0.1,auc,-1.82793360351,0.102426215084,-2.33256824463,1,0.1,4,binary:logistic,18.92543859649123,2,6.766,8.03933333333,7.316
gbtree,0.7,0.001,auc,0.461387166621,0.318297900547,-2.12925180879,0.2,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.001,auc,0.461387166621,0.318297900547,-2.12925180879,0.4,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.001,auc,0.461387166621,0.318297900547,-2.12925180879,0.6,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.001,auc,0.461387166621,0.318297900547,-2.12925180879,0.8,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.001,auc,0.461387166621,0.318297900547,-2.12925180879,1,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.001,auc,-0.950046995525,0.0450041981161,-1.68504709375,0.2,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.001,auc,-0.950046995525,0.0450041981161,-1.68504709375,0.4,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.001,auc,-0.950046995525,0.0450041981161,-1.68504709375,0.6,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.001,auc,-0.950046995525,0.0450041981161,-1.68504709375,0.8,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.001,auc,-0.950046995525,0.0450041981161,-1.68504709375,1,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.01,auc,0.461387166621,0.318297900547,-2.12925180879,0.2,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.01,auc,0.461387166621,0.318297900547,-2.12925180879,0.4,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.01,auc,0.461387166621,0.318297900547,-2.12925180879,0.6,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.01,auc,0.461387166621,0.318297900547,-2.12925180879,0.8,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.01,auc,0.461387166621,0.318297900547,-2.12925180879,1,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.01,auc,-0.950046995525,0.0450041981161,-1.68504709375,0.2,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.01,auc,-0.950046995525,0.0450041981161,-1.68504709375,0.4,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.01,auc,-0.950046995525,0.0450041981161,-1.68504709375,0.6,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.01,auc,-0.950046995525,0.0450041981161,-1.68504709375,0.8,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.01,auc,-0.950046995525,0.0450041981161,-1.68504709375,1,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.1,auc,0.461387166621,0.318297900547,-2.12925180879,0.2,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.1,auc,0.461387166621,0.318297900547,-2.12925180879,0.4,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.1,auc,0.461387166621,0.318297900547,-2.12925180879,0.6,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.1,auc,0.461387166621,0.318297900547,-2.12925180879,0.8,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.1,auc,0.461387166621,0.318297900547,-2.12925180879,1,0.05,5,binary:logistic,18.92543859649123,2,8.717,8.83666666667,7.324
gbtree,0.7,0.1,auc,-0.950046995525,0.0450041981161,-1.68504709375,0.2,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.1,auc,-0.950046995525,0.0450041981161,-1.68504709375,0.4,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.1,auc,-0.950046995525,0.0450041981161,-1.68504709375,0.6,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.1,auc,-0.950046995525,0.0450041981161,-1.68504709375,0.8,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
gbtree,0.7,0.1,auc,-0.950046995525,0.0450041981161,-1.68504709375,1,0.1,5,binary:logistic,18.92543859649123,2,7.469,8.088,7.652
